Domain,Accessible,url,Status Code,Redirect to another domain,HTML Size,GDPR blocking
bayweekly.com,Yes,http://bayweekly.com/,200,No,73765,No
bbc.co.uk,Yes,https://www.bbc.co.uk/,200,No,508049,No
bbc.com,Yes,https://www.bbc.com/,200,No,232851,No
bccourier.com,Yes,https://www.bccourier.com/,200,No,32108,No
bcdemocrat.com,Yes,https://bcdemocrat.com/,200,No,332191,No
bcdemocratonline.com,Yes,https://www.bcdemocratonline.com/,200,No,144609,No
bcn-news.com,Yes,https://www.bcn-news.com/,200,No,93788,No
bcrnews.com,Yes,https://www.shawlocal.com/bureau-county-republican/,200,Yes,212358,No
bctelegraph.com,Yes,https://www.bctelegraph.com/,200,No,120874,No
bctribune.com,Yes,https://www.bctribune.com/,200,No,57916,No
bdemo.com,Yes,https://www.bdemo.com/,451,No,4799,Yes
bdtonline.com,Yes,https://www.bdtonline.com/,451,No,4717,Yes
beachesleader.com,Yes,https://www.beachesleader.com/,200,No,2256247,No
beaconhilltimes.com,Yes,http://beaconhilltimes.com/,200,No,49261,No
beacononlinenews.com,Yes,https://beacononlinenews.com/,200,No,282589,No
beaconseniornews.com,Yes,https://www.beaconseniornews.com/,200,No,19041,No
beardstownnewspapers.com,Yes,https://www.beardstownnewspapers.com/,200,No,66946,No
beatricedailysun.com,Yes,https://beatricedailysun.com/,200,No,526244,No
beaumontenterprise.com,Yes,http://beaumontenterprise.com/,451,No,4517,Yes
beauregarddailynews.net,Yes,https://www.beauregardnews.com/,200,Yes,90434,No
beavercreeknewscurrent.com,Yes,https://www.beavercreeknewscurrent.com/,200,No,83734,No
bedfordbulletin.com,Yes,https://www.pmg-va.com/bedford_bulletin/,451,Yes,4723,Yes
bedfordtimes-press.com,Yes,https://www.bedfordtimes-press.com/,200,No,31948,No
beebenews.com,Yes,https://beebenews.com/,200,No,160359,No
beenews.com,Yes,https://beenews.com/,200,No,889,No
beforeitsnews.com,Yes,https://beforeitsnews.com/,200,No,127145,No
belgrade-news.com,Yes,https://www.belgrade-news.com/,451,No,7111,Yes
belleplaineherald.com,No,http://belleplaineherald.com/,,,,
bellevilleareaindependent.com,Yes,https://bellevilleareaindependent.com/,200,No,65190,No
bellevuebusinessjournal.com,No,http://bellevuebusinessjournal.com/,,,,
bellevueheraldleader.com,Yes,https://www.bellevueheraldleader.com/,451,No,5126,Yes
bellinghambusinessnews.com,Yes,https://bellinghambusinessnews.com/,200,No,132630,No
bellinghamherald.com,No,http://bellinghamherald.com/,,,,
belmondnews.com,Yes,http://www.belmondnews.com/,451,No,4440,Yes
beloitdailynews.com,Yes,https://www.beloitdailynews.com/,451,No,7031,Yes
bemidjipioneer.com,Yes,https://bemidjipioneer.com/,200,No,516515,No
bendbulletin.com,Yes,https://www.bendbulletin.com/,451,No,7407,Yes
bendsource.com,Yes,https://www.bendsource.com/,200,No,126835,No
benewsjournal.com,Yes,https://www.benewsjournal.com/,200,No,174957,No
beniciaheraldonline.com,Yes,http://beniciaheraldonline.com/,200,No,44563,No
benningtonbanner.com,Yes,https://www.benningtonbanner.com/,200,No,633631,No
bensonnews-sun.com,Yes,https://www.myheraldreview.com/news/benson/,451,Yes,7330,Yes
